user_input,retrieved_contexts,response,reference,context_recall,faithfulness
What should you do if an unauthorized person attempts to tailgate you into a building?,"['authorized individuals have access to our workplace. Do not give building access to\nindividuals who are not displaying an AMD badge. Swipe your badge every time you\nenter a building or any other access-controlled space; do not tailgate behind anyone \nelse and do not permit others to tailgate behind you. Contact Physical Security or a \nmanager if someone is trying to access the building without authorization.\nThe Company prohibits threatening or committing any act of violence in the workplace, \nwhile on Company-related business or operating any Company-owned or leased', 'Pay close attention when working with customers and third parties, especially if the \ntransaction involves cash payments. Always know who is behind every transaction and \nonly conduct business with reputable third parties engaged in legitimate business\nactivities.\nTake action to prevent money laundering by speaking up if you observe any\nsuspicious activity.\nWhether you decline or simply ignore an expert network invitation, promptly disclose it \nas directed in the Conflicts of Interest Policy.\nAvoiding insider trading and tipping.', 'in an audit or investigation. Failure to cooperate can result in discipline up to and\nincluding financial penalties or termination of employment or contract.\nDo I need to tell my manager before speaking with an investigator or\nauditor? \nNo. You should not inform your manager, or anyone else, if you are asked to meet with \nor cooperate with an investigator or auditor that has been engaged by the Company. \nYour discussions with the investigator or auditor are confidential. \nWhat if the investigator or auditor is from the government?']","**Action Required**

If an unauthorized person attempts to tailgate you into a building:

* **Do not allow them to enter**: Refuse to let the individual pass, and instead, contact Physical Security or a manager immediately.
* **Swipe your badge**: Proceed to swipe your authorized AMD badge to gain access to the building.
* **Report the incident**: Inform Physical Security or a manager about the attempted tailgating, providing as much detail as possible.

**Important:**

* Do not permit others to tailgate behind you.
* Do not allow unauthorized individuals to enter the building without proper authorization.",Do not permit others to tailgate behind you and contact Physical Security or a manager if someone tries to access the building without authorization.,1.0,
Are employees permitted to joke about workplace violence?,"['while on Company-related business or operating any Company-owned or leased\nvehicle or equipment. It is inappropriate to even joke about workplace violence.\nImmediately notify Physical Security, a manager you trust and Human Resources if you \nbelieve there is a threat of violence.\nAvoiding drug and alcohol abuse in the workplace.\nWe have a zero-tolerance policy regarding drug and alcohol abuse on company property, \nat Company-related events and when conducting Company business. Illegal drugs are \nprohibited in all circumstances. In addition, never work while intoxicated or under the', 'PROTECTING OUR HEALTH AND SAFETY\nOur Company is committed to effective safety and wellness programs that focus not \nonly on accident prevention but also on employee morale and productivity.  \nThis means:\n• \nFollow site safety rules.\n• \nUse necessary safety equipment.\n• \nReport actual or potential safety hazards.\nOur work is never so urgent or important that we cannot do it safely!\nPreventing and reporting workplace violence.\nOne of the most effective ways to prevent workplace violence is to ensure that only \nauthorized individuals have access to our workplace. Do not give building access to', 'or other unsafe workplace condition, report it to a manager and to EHS. \n• \nSpeak up. Report suspected health and safety hazards to a manager and EHS.\nSafeguarding Our Workplace  |  10\nEnvironmental, Health and Safety (EHS) Policy\nWorkplace Violence Prevention Policy\nContent Navigation\nSafeguarding Our Workplace\nTreating each other with dignity and\nrespect\nRespecting property and resources\nProtecting our health and safety\nGuarding against cyberthreats\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information\nConducting Our Business\nEthically']","**No**

According to the provided Context, it is **inappropriate** to even joke about workplace violence while on Company-related business or operating any Company-owned or leased vehicle or equipment.","No, it is inappropriate to even joke about workplace violence.",1.0,
Where can employees find procedures regarding workplace health and safety?,"['the Company’s Environmental, Health and Safety (EHS) policies, procedures and work \npractices, which are outlined in the Global EHS Employee Handbook.\nTo keep our workplace safe and avoid accidents and injuries:\n• \nEliminate hazards. Maintain a clean and orderly workplace free of hazards.\nFamiliarize yourself with our emergency procedures and participate in emergency\ndrills. \n• \nLook out for danger. If you observe an unsafe situation, potential for an accident,\nor other unsafe workplace condition, report it to a manager and to EHS. \n•', 'or other unsafe workplace condition, report it to a manager and to EHS. \n• \nSpeak up. Report suspected health and safety hazards to a manager and EHS.\nSafeguarding Our Workplace  |  10\nEnvironmental, Health and Safety (EHS) Policy\nWorkplace Violence Prevention Policy\nContent Navigation\nSafeguarding Our Workplace\nTreating each other with dignity and\nrespect\nRespecting property and resources\nProtecting our health and safety\nGuarding against cyberthreats\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information\nConducting Our Business\nEthically', 'PROTECTING OUR HEALTH AND SAFETY\nOur Company is committed to effective safety and wellness programs that focus not \nonly on accident prevention but also on employee morale and productivity.  \nThis means:\n• \nFollow site safety rules.\n• \nUse necessary safety equipment.\n• \nReport actual or potential safety hazards.\nOur work is never so urgent or important that we cannot do it safely!\nPreventing and reporting workplace violence.\nOne of the most effective ways to prevent workplace violence is to ensure that only \nauthorized individuals have access to our workplace. Do not give building access to']","**Procedures Regarding Workplace Health and Safety**

• **Follow site safety rules**: Refer to the Global EHS Employee Handbook for specific guidelines on site safety rules.
• **Use necessary safety equipment**: Ensure you are using the required personal protective equipment (PPE) as outlined in the handbook.

**Reporting Actual or Potential Safety Hazards**

Report any actual or potential safety hazards to a manager and EHS, as stated in the Global EHS Employee Handbook.","Safety policies, procedures, and work practices are outlined in the Global EHS Employee Handbook.",,
Is it acceptable to use company computers to access sexually explicit materials?,"['from theft, damage and misuse. Do not use Company resources for adult\nentertainment that is sexual in nature or will otherwise reflect badly on the company \nand do not use Company computers for offensive or sexually explicit materials.\nFamiliarize yourself with our Information Security Policy, our E-Communication and\nRetention Standard and other relevant policies and procedures regarding the use of \nCompany resources.\nSafeguarding Our Workplace  |  11\nInformation Security Policy\nE-Communication and Retention Standard\nGlobal Gifts & Entertainment Policy\nContent Navigation', 'are uncertain about our right to access or use such information, refrain from\naccepting it (if possible) and contact the AMD Law Department. Do not forward the\ninformation to others without approval from the AMD Law Department.\n• \nIf you inadvertently receive an email containing confidential information related to\na competitor, do not use or share the information. Contact the AMD Law\nDepartment for further guidance.  \n• \nIf someone gives you a non-public competitor product or component and you are\nuncertain about our right to possess or use it, contact the AMD Law Department \nfor guidance.', 'legally permitted. Copyrighted works can include newsletters, magazine articles,\nnewspapers, books, videotapes, drawings, musical recordings and software.  \nDo not use AMD facilities or equipment to make or store unauthorized copies. Also, \nnever load unlicensed software onto Company computer equipment or download\nunauthorized software from the Internet.\nBusiness partner and third-party confidential information.\nCustomers, suppliers and other business partners sometimes disclose and entrust their \nconfidential information to us for business purposes. Always treat this information']","**No**

* **Company Policy:** Do not use Company computers for offensive or sexually explicit materials.
* **Consequence:** This may result in disciplinary action, up to and including termination of employment.

Note: The provided context explicitly states the policy against using company resources for such activities.","No, employees must not use company resources for adult entertainment that is sexual in nature or computers for offensive or sexually explicit materials.",,
What is the protocol if a colleague asks for your login credentials to meet a project deadline?,"['If you are aware of or suspect an IT or data security issue or incident, or \nany loss of assets, including data, belonging to AMD or others, report \nit immediately by emailing [REDACTED_EMAIL].\nQ\nA colleague is working on a tight deadline and offers to share their\nlogin credentials with you so that you can access a restricted folder and \nhelp finish a report.\nA\nWhile the intent was to meet a deadline, sharing login credentials —even \nwith coworkers— violates our security policies and puts sensitive data at \nrisk and misuse.  \n• \nNever share passwords or Multi-Factor Authentication (MFA)', 'believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', 'Q\nYou receive a vendor invoice for work performed in early January and a \ncolleague asks you to record it as a December expense to help meet the \nprior quarter’s budget target. They believe this will make the team’s \nfinancials look more balanced.\nA\nEven if well-intentioned, recording a payment in the wrong quarter\nmisrepresents the company’s financial position and violates our policies \non accurate recordkeeping. Always record expenses in the correct period. \nIntegrity in reporting is never optional. If you have budget concerns,\ndiscuss these with your manager and Finance.']","**Security Policy Protocol**

* Sharing login credentials, including with coworkers, is strictly prohibited due to security policies.
* Violating this policy puts sensitive data at risk of misuse.
* **Never share passwords or Multi-Factor Authentication (MFA) credentials.**

If a colleague asks for your login credentials to meet a project deadline:

1. Politely decline and explain the security policy violation.
2. Suggest alternative solutions, such as discussing the deadline with a manager or finding another way to complete the task without compromising security.

**Note:** Sharing login credentials is not an acceptable solution to meet a project deadline. It is essential to prioritize security and adhere to company policies.","Never share passwords or Multi-Factor Authentication (MFA) codes by email, chat, or verbally, and report any credential-sharing requests to the security team.",,
How should suspected IT data security incidents be reported?,"['If you are aware of or suspect an IT or data security issue or incident, or \nany loss of assets, including data, belonging to AMD or others, report \nit immediately by emailing [REDACTED_EMAIL].\nQ\nA colleague is working on a tight deadline and offers to share their\nlogin credentials with you so that you can access a restricted folder and \nhelp finish a report.\nA\nWhile the intent was to meet a deadline, sharing login credentials —even \nwith coworkers— violates our security policies and puts sensitive data at \nrisk and misuse.  \n• \nNever share passwords or Multi-Factor Authentication (MFA)', 'GUARDING AGAINST CYBERTHREATS\nEach of us is responsible for protecting the data and other assets of AMD and our\nbusiness partners. Always adhere to AMD information security policies. Even actions \ntaken with good intentions, such as creating workarounds and shortcuts to improve \nservice delivery or downloading unapproved third-party software, can violate AMD\nsecurity policies and lead to IT or data security breaches. \nSafeguarding Our Workplace  |  12\nIf you are aware of or suspect an IT or data security issue or incident, or', 'Q\nYou finalized a presentation for a supplier meeting. The day before the \nmeeting you saved it to a shared folder accessible to the supplier. The \nnext day you realize the presentation included confidential\ninformation the supplier shouldn’t know.\nA\nImmediately remove the sensitive content and restrict access to the \nfolder. Then notify your manager and the Law Department to assess any \nexposure. By acting quickly and responsibly, you are helping prevent a \npotential data leak and reinforcing our commitment to protecting\nconfidential information.\nRIGHT WAY, EVERY DAY.\nHelpful Resources']","**Reporting Requirements**

* Suspected IT or data security issues or incidents should be reported immediately.
* The report should be sent via email to the specified address: **[REDACTED_EMAIL]**.

**Key Details:**

• Report any suspected IT or data security incidents immediately.
• Use the provided email address for reporting.",IT or data security incidents should be reported immediately by emailing infosec.incidents@amd.com.,,
What must an employee do before using open source software for product development?,"['RESPECTING INTELLECTUAL PROPERTY OF OTHERS\nJust as we expect others to respect our confidential information and intellectual\nproperty, we respect the intellectual property rights of others. \nOpen source.\nOpen source software is software offered under a free software or open source license. \nBefore using, modifying, linking-to, or distributing any open source software for\nCompany infrastructure or as part of a Company product or service development effort, \nensure your plan complies with our Open Source Policy.', 'ensure your plan complies with our Open Source Policy.  \nUnderstand the settings of any software that you use. Some software publishes user \nresults publicly – never use such software to upload confidential information. If you are \nnot sure about a software’s default setting do not use it.\nCopyright protected content.\nDo not use or copy software, music, images, videos, publications or other copyright-\nprotected content at work or for business purposes unless you or the Company are\nlegally permitted. Copyrighted works can include newsletters, magazine articles,', 'AMD or the employee did not direct or have knowledge of the corrupt payment.\n \nHiring certain types of third parties (such as distributors, freight forwarders, logistics \nproviders, consultants, sales representatives, agents and product promoters) in high-\nrisk regions may require pre-approval from Ethics & Compliance.\nLikewise, before engaging a third party that will be interacting with government or \npublic officials on our behalf, contact Ethics & Compliance to evaluate whether we need \nto conduct additional due diligence.\nConducting Our Business Ethically  |  20']","**Before Using Open Source Software for Product Development:**

* Ensure your plan complies with our **Open Source Policy**.

**Specific Requirements:**

• Understand the settings of any software that you use.
• Never use software with publicly published user results to upload confidential information, if unsure about a software's default setting do not use it.","Employees must ensure their plan complies with the Open Source Policy before using, modifying, linking-to, or distributing any open source software.",,
What action is required if you inadvertently receive a competitor's confidential information?,"['are uncertain about our right to access or use such information, refrain from\naccepting it (if possible) and contact the AMD Law Department. Do not forward the\ninformation to others without approval from the AMD Law Department.\n• \nIf you inadvertently receive an email containing confidential information related to\na competitor, do not use or share the information. Contact the AMD Law\nDepartment for further guidance.  \n• \nIf someone gives you a non-public competitor product or component and you are\nuncertain about our right to possess or use it, contact the AMD Law Department \nfor guidance.', 'Q\nYou finalized a presentation for a supplier meeting. The day before the \nmeeting you saved it to a shared folder accessible to the supplier. The \nnext day you realize the presentation included confidential\ninformation the supplier shouldn’t know.\nA\nImmediately remove the sensitive content and restrict access to the \nfolder. Then notify your manager and the Law Department to assess any \nexposure. By acting quickly and responsibly, you are helping prevent a \npotential data leak and reinforcing our commitment to protecting\nconfidential information.\nRIGHT WAY, EVERY DAY.\nHelpful Resources', 'What if the investigator or auditor is from the government? \nOur Company takes all requests for information by government officials seriously. If you \nlearn of a government request for information or a government investigation, promptly \ncontact your manager and the AMD Law Department.\nOur Global Code of Conduct  |  7\nRemember: To ensure our Company responds accurately and\nappropriately, do not answer questions or provide documents until the \nLaw Department instructs you to do so.\nQ\nYou receive a request from an Ethics & Compliance investigator to']","**Action Required:**

• If you inadvertently receive a competitor's confidential information, **contact the AMD Law Department for guidance.**

No further actions are specified in the provided context.","Do not use or share the information, and contact the Law Department for further guidance.",,
Do employees have a right to privacy when using company-provided computers or networks?,"['misconduct, prevent criminal activity and security violations and for other business\nreasons. AMD therefore reserves the right to monitor and inspect Company facilities \nand property and to review information on them, in accordance with applicable laws \nand regulations.\nUnless otherwise protected by applicable law, do not expect privacy when using\nCompany-provided facilities, services, networks, computers, phones, mobile devices or \nother equipment. The same applies when conducting work duties on personal devices. \nProtecting Intellectual Property and Personal Information  |  16', 'PROTECTING PERSONAL INFORMATION\nWe are committed to protecting the personal information of our current and former \nemployees, contractors, job applicants, business partners, customers and online users. \nWe consider privacy when designing our products and at every step of our business\nprocesses that involve personal information.\nWhen handling personal information in your job: \n• \nAccess only what you need for a legitimate business purpose, nothing more; \n• \nSecure and protect it at every step;\n• \nShare it only with those who have a legitimate need to know, and only when there', '• \nShare it only with those who have a legitimate need to know, and only when there\nis a clear business purpose and you have proper authorization to do so; \n• \nDelete it as soon as you no longer need it, unless another Company policy requires\nretaining it; and \n• \nEscalate concerns or threats. \nWhile the Company respects privacy, it must also manage its assets and information \nsystems, workforce and business partners to promote safety, investigate alleged\nmisconduct, prevent criminal activity and security violations and for other business']","**YES**

* **Grounding:** The provided Context states that ""Unless otherwise protected by applicable law, do not expect privacy when using Company-provided facilities, services, networks, computers, phones, mobile devices or other equipment.""
* **Format:** No bullet points are necessary as the answer is a simple affirmative response.
* **No further information available.**","No, unless protected by applicable law, employees should not expect privacy when using company-provided facilities, networks, computers, or devices.",1.0,
How should a supplier's confidential information be treated?,"['confidential information to us for business purposes. Always treat this information \nwith the same care used to protect our own Company confidential information.\n• \nNever share a supplier’s confidential information with another competing supplier.  \n• \nNever disclose a customer’s or other business partner’s confidential information\nwithout obtaining the necessary permissions or legal rights.  \n• \nIf you are uncertain whether you are permitted to disclose or use certain\ninformation, consult with the AMD Law Department.\nBusiness and competitive intelligence information.', 'believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', 'Content Navigation\nSafeguarding Our Workplace\nRespecting intellectual property of\nothers\nProtecting confidential information\nProtecting personal information\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information\nConducting Our Business\nEthically\nPROTECTING CONFIDENTIAL INFORMATION\nOur confidential information is a vital asset and protecting it is critical to our success. \nConfidential information is any information that is not available to the public, including']","**CONFIDENTIALITY GUIDELINES FOR SUPPLIERS**

• **Never share a supplier's confidential information with another competing supplier.**
 
This is a critical aspect of maintaining confidentiality and protecting our company's interests. Sharing such information would be a breach of trust and potentially harm our competitive position.

**RELEVANT POLICY STATEMENT:**

Our Global Code of Conduct > Protecting Confidential Information",It must be treated with the same care used to protect company confidential information and must never be shared with a competing supplier.,1.0,
What are some examples of business records that must be kept accurate?,"['invoices, financial reports and accounting statements. Email and other electronic\ncommunications may be business records. Avoid exaggeration, derogatory language \nand other expressions that could be taken out of context or are in violation of company \npolicy.  \nNever hide, alter, falsify or disguise the true nature of any transaction. Only sign\ndocuments and contracts that you are authorized to sign.\nIn the unlikely event the Company determines that it is required to prepare an\naccounting restatement due to material noncompliance with any financial reporting', 'to support our tax, financial and legal obligations. Keep records only as long as required \nfor business, financial or legal reasons, and no longer. Securely dispose of records that \nare no longer needed. Never dispose any information that may be relevant to an\ninvestigation or subject to a litigation hold.\nFor more information, contact the AMD Law Department.\nConducting Our Business Ethically  |  18\nSignature Authority Guidelines\nCompensation Recovery Policy\nQ\nYou receive a vendor invoice for work performed in early January and a', 'promptly and honestly in accordance with our internal controls. Follow our policies and \nkeep accurate records of every business transaction. In any deal, avoid hidden terms or \narrangements, because transparent transactions reduce the risk of a bribe or kickback. \nEach of us is responsible and accountable for creating and maintaining appropriate and \naccurate business records. These include expense reports, timesheets, correspondence, \ninvoices, financial reports and accounting statements. Email and other electronic']","**Business Records to be Kept Accurate**

The following are examples of business records that must be kept accurate:

• **Expense Reports**: Detailed records of personal or company expenses, including receipts and supporting documentation.
• **Timesheets**: Accurate records of work hours, including start and end times, dates, and descriptions of tasks completed.
• **Correspondence**: All emails, letters, and other written communications related to business transactions, including sender, recipient, date, and content.
• **Invoices**: Detailed records of all invoices sent to customers or vendors, including invoice numbers, dates, amounts, and payment terms.
• **Financial Reports**: Accurate and timely financial reports, including balance sheets, income statements, and cash flow statements.
• **Accounting Statements**: Detailed records of all accounting transactions, including journal entries, ledgers, and account balances.

**Critical Limits:**

* All business records must be kept for the required period as specified by company policy or applicable laws.
* Records that are no longer needed must be securely disposed of in accordance with company policies.","Expense reports, timesheets, correspondence, invoices, financial reports, accounting statements, and electronic communications.",,
Can a vendor invoice for January be recorded as a December expense to meet budget targets?,"['Q\nYou receive a vendor invoice for work performed in early January and a \ncolleague asks you to record it as a December expense to help meet the \nprior quarter’s budget target. They believe this will make the team’s \nfinancials look more balanced.\nA\nEven if well-intentioned, recording a payment in the wrong quarter\nmisrepresents the company’s financial position and violates our policies \non accurate recordkeeping. Always record expenses in the correct period. \nIntegrity in reporting is never optional. If you have budget concerns,\ndiscuss these with your manager and Finance.', 'to support our tax, financial and legal obligations. Keep records only as long as required \nfor business, financial or legal reasons, and no longer. Securely dispose of records that \nare no longer needed. Never dispose any information that may be relevant to an\ninvestigation or subject to a litigation hold.\nFor more information, contact the AMD Law Department.\nConducting Our Business Ethically  |  18\nSignature Authority Guidelines\nCompensation Recovery Policy\nQ\nYou receive a vendor invoice for work performed in early January and a', 'If you feel threatened and, in your best judgment, believe you must make a payment to \navoid putting your life, health, safety or liberty in jeopardy, take the actions\nnecessary to protect yourself.\nOnce the threat has passed, notify your manager and Ethics & Compliance and ensure \nthat all such payments are accurately recorded in your expense report.\nConducting Our Business Ethically  |  23\nContent Navigation\nSafeguarding Our Workplace\nInteracting with government customers \nand officials\nComplying with international trade\nregulations\nGiving and receiving gifts, meals,']","**NO**

* **Policy Violation:** Recording a payment in the wrong quarter misrepresents the company's financial position and violates our policies on accurate recordkeeping.
* **Reasoning:** The policy states that ""Always record expenses in the correct period. Integrity in reporting is never optional.""
* **Consequence:** Misrepresenting financial information can have serious consequences, including tax, financial, and legal obligations.

**Note:** Recording a payment in the wrong quarter does not meet budget targets and may lead to inaccurate financial reporting. If budget concerns arise, discuss them with your manager and Finance.","No, expenses must always be recorded in the correct period to avoid misrepresenting the company's financial position.",1.0,
What happens if the company must restate financials due to material noncompliance?,"['invoices, financial reports and accounting statements. Email and other electronic\ncommunications may be business records. Avoid exaggeration, derogatory language \nand other expressions that could be taken out of context or are in violation of company \npolicy.  \nNever hide, alter, falsify or disguise the true nature of any transaction. Only sign\ndocuments and contracts that you are authorized to sign.\nIn the unlikely event the Company determines that it is required to prepare an\naccounting restatement due to material noncompliance with any financial reporting', 'accounting restatement due to material noncompliance with any financial reporting \nlaws applicable to the Company, remedies for the noncompliance may include recovery \nof any incentive-based or other compensation (including any equity awards) paid or \ngranted to those responsible and all other remedies available by law.\nManaging business records.\nOur business is subject to records retention requirements for specific periods of time \nto support our tax, financial and legal obligations. Keep records only as long as required', 'speak all of our languages.\nSelect the Company resource you are most comfortable with. You don’t need to\nadvise your manager in advance.\nWhat happens after I raise my concern?\nOur Company takes all ethics and compliance concerns seriously. We treat each concern \nas confidential, to the extent possible. We make every effort to investigate all concerns \npromptly, completely and consistently. If our investigation reveals misconduct, we work \nto correct the situation and prevent it from happening again. Anyone who violates the']","**Accounting Restatement Remedies**

If the Company determines that it is required to prepare an accounting restatement due to material noncompliance with any financial reporting laws, remedies for the noncompliance may include:

*   **Recovery of incentive-based or other compensation**: This includes any equity awards paid or granted to those responsible.
*   **All other remedies available by law**",Remedies may include the recovery of incentive-based compensation and equity awards paid to those responsible.,,
When is it appropriate to dispose of business records?,"['to support our tax, financial and legal obligations. Keep records only as long as required \nfor business, financial or legal reasons, and no longer. Securely dispose of records that \nare no longer needed. Never dispose any information that may be relevant to an\ninvestigation or subject to a litigation hold.\nFor more information, contact the AMD Law Department.\nConducting Our Business Ethically  |  18\nSignature Authority Guidelines\nCompensation Recovery Policy\nQ\nYou receive a vendor invoice for work performed in early January and a', 'promptly and honestly in accordance with our internal controls. Follow our policies and \nkeep accurate records of every business transaction. In any deal, avoid hidden terms or \narrangements, because transparent transactions reduce the risk of a bribe or kickback. \nEach of us is responsible and accountable for creating and maintaining appropriate and \naccurate business records. These include expense reports, timesheets, correspondence, \ninvoices, financial reports and accounting statements. Email and other electronic', 'RESPONSIBLE ARTIFICIAL INTELLIGENCE\nOur Company is committed to the responsible use, development and deployment of \nResponsible Artificial Intelligence (RAI).\n• \nWhen using AI for work, use only AMD-approved tools subject to the\nAMD Requirements for Approved Private AI Tools.\n• \nAlways review the output of AI tools to ensure it is accurate.\n• \nDo not employ AI tools in any manner that may lead to discrimination or bias. Do\nnot use AI tools without receiving approval under the AMD AI Use Case\nAssessment process.\n• \nWhen developing new internal AI use cases consult with the AMD RAI Team to']","**Disposal of Business Records**

* Keep records only as long as required for business, financial, or legal reasons, and no longer.
* Securely dispose of records that are no longer needed.

**Critical Limit:** Records must be disposed of in a secure manner to prevent the release of sensitive information that may be relevant to an investigation or subject to a litigation hold.","Records should be disposed of securely when they are no longer needed for business, financial, or legal reasons, provided they are not relevant to an investigation or litigation hold.",,
Who should you contact to verify if an export license is required?,"['COMPLYING WITH INTERNATIONAL TRADE REGULATIONS\nConducting Our Business Ethically  |  29\nIf you have questions about your responsibilities or the laws that apply to your work or \nif you suspect a violation of export controls or other trade compliance laws has occurred \nor is about to occur, in any stages of a transaction including resales by distributors or \ncustomers, immediately speak up by contacting Global Trade or using any of the\nCompany’s multiple reporting avenues. \nEnsuring export authorizations.\nConfirm any necessary export licenses, importing country customs requirements or', 'Confirm any necessary export licenses, importing country customs requirements or \nother authorizations are in place before proceeding with any export. This may require \nreviewing the export classifications of the hardware, software, technology or services, \nbeing exported.  \nDo not ignore an export violation warning sign. Help the Company and yourself by\nspeaking up.\nFollowing anti-boycott laws.\nWe comply with anti-boycott laws. Our Company will not cooperate with any restrictive \ntrade practice or boycott prohibited under U.S. or applicable local laws.', 'in an audit or investigation. Failure to cooperate can result in discipline up to and\nincluding financial penalties or termination of employment or contract.\nDo I need to tell my manager before speaking with an investigator or\nauditor? \nNo. You should not inform your manager, or anyone else, if you are asked to meet with \nor cooperate with an investigator or auditor that has been engaged by the Company. \nYour discussions with the investigator or auditor are confidential. \nWhat if the investigator or auditor is from the government?']","**Verification of Export License Requirements**

To verify if an export license is required, you should contact:

*   **Global Trade**: Reach out to Global Trade for guidance on ensuring export authorizations are in place before proceeding with any export.
*   **Export Compliance Team**: If available, consult the Export Compliance Team within your department or organization for specific information on export classifications and necessary licenses.

**Critical Limits:**

*   Reviewing export classifications of hardware, software, technology, or services being exported is crucial to confirm necessary export licenses.
*   Confirming importing country customs requirements or other authorizations before proceeding with any export.","Contact Global Trade to confirm necessary export licenses, customs requirements, or other authorizations.",1.0,
"What defines a ""facilitation payment""?","['INTERACTING WITH GOVERNMENT CUSTOMERS AND OFFICIALS\nAvoiding facilitation payments.\nFacilitation Payments are small payments of cash or something of value made to\nindividual Government Officials to secure or speed up routine, non-discretionary\ngovernmental actions; they are commonly called “facilitation” or “grease” payments.  \n  \nThese payments are illegal in many countries and prohibited.\nHandling coercion and threats to personal safety.\nIf you feel threatened and, in your best judgment, believe you must make a payment to', 'Safeguarding Our Image\n \nWhat we communicate about our company can have an impact on our reputation, customers and brand. \nWe protect our reputation and trustworthiness by adhering to AMD brand standards and making sure \nthe information we communicate is accurate, consistent and reliable. For this reason, only certain people \nare authorized to speak on behalf of the Company.', 'Q\nYou are reviewing bids for a new supplier contract. One vendor—new to \nthe company—offers unusually favorable terms and insists on using a \nlocal consultant to “help smooth the process.” The consultant has no \nclear role or qualifications and requests a facilitation fee. \nA\nThese are red flags: unusually favorable pricing, pressure to use an\nunvetted intermediary and vague service descriptions tied to a payment. \nRefer this situation to the Ethics & Compliance team. By doing so, you \nare preventing potential bribery or third-party misconduct and ensuring']","**Definition of a Facilitation Payment:**

* A small payment of cash or something of value made to an individual Government Official to:
	+ Secure or speed up routine, non-discretionary governmental actions
* Also referred to as ""facilitation"" or ""grease"" payments.","Small payments of cash or something of value made to individual government officials to secure or speed up routine, non-discretionary governmental actions.",,
Are facilitation payments permissible under the company's anti-corruption policy?,"['INTERACTING WITH GOVERNMENT CUSTOMERS AND OFFICIALS\nAvoiding facilitation payments.\nFacilitation Payments are small payments of cash or something of value made to\nindividual Government Officials to secure or speed up routine, non-discretionary\ngovernmental actions; they are commonly called “facilitation” or “grease” payments.  \n  \nThese payments are illegal in many countries and prohibited.\nHandling coercion and threats to personal safety.\nIf you feel threatened and, in your best judgment, believe you must make a payment to', 'AVOIDING CORRUPT ACTIVITIES\nWe are committed to conducting business with the highest ethical standards and\nadhering to applicable anti-corruption laws in all locations where we do business.\nCorruption has a profoundly negative impact on our Company and communities.\nWe don’t engage in any form of corruption, anywhere.\nWe are all responsible for reading our Global Anti-Corruption Policy and understanding \nour responsibilities for complying with global anti-corruption laws.\nNo bribes.\nOur policy is simple: we don’t give or accept bribes. Bribes are unethical and expose you', 'Q\nYou are reviewing bids for a new supplier contract. One vendor—new to \nthe company—offers unusually favorable terms and insists on using a \nlocal consultant to “help smooth the process.” The consultant has no \nclear role or qualifications and requests a facilitation fee. \nA\nThese are red flags: unusually favorable pricing, pressure to use an\nunvetted intermediary and vague service descriptions tied to a payment. \nRefer this situation to the Ethics & Compliance team. By doing so, you \nare preventing potential bribery or third-party misconduct and ensuring']","**No**

* Facilitation Payments are explicitly prohibited by the Company's Global Anti-Corruption Policy.
* The policy states that ""We don't give or accept bribes"" and that ""Bribes are unethical and expose you to serious consequences.""
* There is no exception or allowance for facilitation payments under the policy.

**Key Points:**

* **Prohibition**: Facilitation Payments are strictly prohibited by the Company's anti-corruption policy.
* **No Exceptions**: There is no provision or exception for facilitation payments in the policy.","No, facilitation payments are illegal in many countries and are prohibited by the company.",,
